1187,-2704,4376,14064,-2954,-4425,17206
1190,-1324,3920,14208,-2733,-4558,14627
1195,528,3820,14448,-2548,-4931,10417
1198,88,5000,14528,-2219,-5026,6967
1201,-104,2848,13772,-2117,-4232,3829
1205,-660,3380,14536,-2040,-3118,-75
1208,-456,3024,15052,-1738,-2276,-1982
1212,448,2408,15436,-1367,-2160,-6195
1215,120,2724,16036,-934,-2498,-8834
1218,128,1488,15960,-619,-3304,-9585
1222,-2088,3108,15780,-3,-3540,-11458
1225,-3800,992,15388,-63,-2757,-10377
1228,-4476,2524,16104,40,-2046,-10587
1232,-5024,2364,16120,341,-1325,-9105
1235,-4944,1456,16060,371,-1067,-7495
1240,-4820,2440,16068,586,-1119,-5748
1243,-5096,2120,15636,829,-1224,-3998
1246,-5264,1904,15388,829,-1364,-2352
1250,-5736,3592,14876,802,-1496,-796
1253,-5564,2640,14308,588,-1257,809
1257,-6124,3344,13796,314,-781,2187
1260,-5996,3376,13656,-134,-46,3199
1263,-5516,3588,13440,-523,308,3915
1267,-4020,3584,13472,-799,15,3972
1270,-3364,3524,13608,-934,-801,3407
1273,-2952,3328,13540,-1068,-1645,2612
1277,-3108,3264,13760,-1158,-2196,1819
1281,-3720,3096,13768,-1249,-2099,1004
1285,-3196,2688,13972,-1435,-1699,341
1288,-3160,3004,14672,-1411,-1265,-396
1291,-2876,2516,14764,-1324,-833,-921
1295,-2692,2716,15276,-1248,-492,-1278
1298,-1996,2644,15644,-1044,-493,-1718
1302,-2168,2756,15956,-855,-599,-2086
1305,-2160,2648,16180,-710,-536,-2094
1308,-2088,2900,16224,-612,-487,-1957
1312,-2124,3000,16268,-496,-345,-1607
1315,-2080,3088,16272,-444,-186,-1123
1318,-2096,3344,15988,-432,2,-629
1323,-1896,3392,15740,-480,224,-207
1326,-1700,3812,15488,-524,452,123
1329,-1588,3652,15236,-612,653,340
1333,-1508,3644,15136,-683,879,465
1336,-1500,3572,14772,-757,1007,465
1339,-1564,3452,14588,-822,1159,431
1342,-1608,3464,14320,-819,1252,268
1346,-1684,3248,14408,-787,1287,127
1349,-1928,3184,14424,-701,1286,-22
